taxon_name,taxon_name_original,entity_type_tax,taxon_family,life_stage,caste,sex,trait_name,trait_description,entity_type,value_type,unit_numeric,value,value_description,replicates,measurement_remarks,method_number,observation_number,methods,site_latitude,site_longitude,site_date_of_visit,site_description,site_fire_impact,collection_date,associated_plant_taxa ,associated_plant_taxa_synonyms,plant_relation_description,associated_fauna_taxa,associated_fauna_taxa_synonyms ,fauna_relation_description,context,source_key,source_doi,source_citation
Acaciacapsus amadeus,,species,Miridae,adult,,male,body_length,,,raw,mm,5.14,,1,,1,1,,-24.55,131.97,1962-06-01,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus amadeus,,species,Miridae,adult,,female,body_length,,,raw,mm,5.42,,1,,1,1,,-25.95,133.22,1978-09-21,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus appha,,species,Miridae,,,,foraging_microhabitat,,,,,arboreal_trees,,,,,,,,,,,,,,,,,,,,,,
Acaciacapsus appha,,species,Miridae,,,,ecological_dependency,,,,,specialist,,,,1,1,,,,,,,,"Acacia effusifolia, Acacia ramulosa var. ramulosa, Acacia sibina, Malleostemon tuberculatus",,All three Acacia spp that Acaciacapsus appha is known to be associated with are widespread in semi-arid shrubland,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus appha,,species,Miridae,adult,,male,body_length,,,mean,mm,5.61,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus appha,,species,Miridae,adult,,female,body_length,,,mean,mm,5.16,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus aureolus,,species,Miridae,,,,foraging_microhabitat,,,,,arboreal_trees,,,,,,,,,,,,,,,,,,,,,,
Acaciacapsus aureolus,,species,Miridae,adult,,male,body_length,,,mean,mm,5.48,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus aureolus,,species,Miridae,adult,,female,body_length,,,mean,mm,5.23,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus aureolus,,species,Miridae,,,,ecological_dependency,,,,,specialist,,,,,,,,,,,,,"Acacia coolgardiensis, Acacia ramulosa var. ramulosa",,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus aureolus,,species,Miridae,,,,range_categorical,,,,,range_broad,,,,,,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus bournda,,species,Miridae,adult,,male,body_length,,,mean,mm,5.32,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus bournda,,species,Miridae,adult,,female,body_length,,,mean,mm,5.23,,5,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus bournda,,species,Miridae,,,,foraging_microhabitat,,,,,arboreal_trees,,,,,,,,,,,,,,,,,,,,,,
Acaciacapsus bournda,,species,Miridae,,,,ecological_dependency,,,,,specialist,,,,,,,,,,,,,Acacia mearnsii,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus emeraldensis,,species,Miridae,adult,,male,body_length,,,mean,mm,5.38,,4,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus emeraldensis,,species,Miridae,adult,,female,body_length,,,raw,mm,4.92,,1,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus emeraldensis,,species,Miridae,adult,,,ecological_dependency,,,,,specialist,,,,,,,,,,,,,Acacia spp.,,,,,,,,,
Acaciacapsus lolworthensis,,species,Miridae,adult,,male,body_length,,,mean,mm,4.66,,3,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus lolworthensis,,species,Miridae,adult,,female,body_length,,,mean,mm,4.89,,3,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus lolworthensis,,species,Miridae,,,,ecological_dependency,,,,,speciallist,,,,,,,,,,,,,Acacia excelsa,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus millstreamensis,,species,Miridae,adult,,male,body_length,,,mean,mm,5.22,,2,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus woodwardi,,species,Miridae,adult,,male,body_length,,,mean,mm,4.92,,2,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus woodwardi,,species,Miridae,adult,,female,body_length,,,raw,mm,4.84,,1,,1,1,,,,,,,,,,,,,,,Cassis_2014,https://doi.org/10.1071/IS13063,"Cassis, G., & Symonds, C. (2014). Systematics and host plant associations of a new genus of Acacia-inhabiting plant bugs from arid Australia (Insecta: Hemiptera: Heteroptera: Miridae: Orthotylinae). Invertebrate Systematics, 28(5), 522-554."
Acaciacapsus,,genus,Miridae,,,,ecological_dependency,,,,,specialist,,,,,,,,,,,,,Acacia spp.,,,,,,,,,
